C,sigma,Validation Accuracy
8,1.07322090229593,0.938996138996139
7,9.1559677486954,0.754440154440154
6,2.96387233017294,0.825482625482626
4,4.40264782266569,0.784555984555985
4,5.42572147856301,0.766795366795367
6,2.40994277179165,0.844787644787645
8,1.03054540759985,0.94054054054054
10,8.90751877385627,0.755984555984556
5,8.89711669058328,0.754440154440154
10,1.68539644672568,0.911196911196911
8,3.12988097276487,0.827027027027027
10,1.07677171770505,0.938996138996139
8,1.45924576945142,0.922007722007722
8,6.52851652806867,0.770656370656371
4,3.57231422506511,0.796911196911197
8,4.46937389026601,0.794594594594595
2,5.26253866595613,0.757528957528958
7,5.89665627797571,0.777606177606178
10,3.8704449711351,0.813127413127413
3,5.91348886332463,0.758301158301158
3,8.91793234421765,0.752123552123552
2,1.54213008797322,0.877220077220077
6,6.49121653474746,0.763706563706564
9,9.99778596284959,0.754440154440154
7,4.02221811399821,0.8
2,7.14742957905154,0.752895752895753
6,3.44587846210472,0.812355212355212
8,2.24200387258283,0.874131274131274
3,1.77577765070455,0.871814671814672
4,9.63707961720435,0.752895752895753
6,1.08896814164922,0.938223938223938
6,4.58479115728411,0.790733590733591
7,2.05327586957937,0.881081081081081
3,1.13188595162461,0.924324324324324
8,1.16391277934692,0.937451737451737
2,1.22018427594407,0.905019305019305
4,1.6427596086716,0.888803088803089
6,1.54770558392038,0.907335907335907
8,1.75601848397109,0.901930501930502
10,1.187954778191,0.936679536679537
10,3.04033572446681,0.836293436293436
10,2.01646621832104,0.89034749034749
2,1.99699709896303,0.834749034749035
3,2.92841509007815,0.810810810810811
10,4.95048226247363,0.792277992277992
7,7.83569441435672,0.755212355212355
9,1.01713312811764,0.93976833976834
5,1.11979374433456,0.933590733590734
9,1.35848882249758,0.930501930501931
10,1.44479446260512,0.926640926640927
2,1.04693105462716,0.922779922779923
6,1.34076577473193,0.925096525096525
8,1.28983256338161,0.933590733590734
7,1.65896129483098,0.903474903474903
5,1.38909680492834,0.91969111969112
5,1.90721553499127,0.878764478764479
9,1.07769747239452,0.94054054054054
